<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.06.03	12:54:00	122355	122390	122310	122325	13771	54835	5
2024.06.03	12:57:00	122320	122345	122305	122330	7940	28180	5
2024.06.03	13:00:00	122335	122370	122295	122305	11414	45041	5
2024.06.03	13:03:00	122300	122360	122295	122310	9150	32710	5
2024.06.03	13:06:00	122310	122325	122250	122255	15506	56243	5
2024.06.03	13:09:00	122255	122305	122240	122290	13900	49451	5
2024.06.03	13:12:00	122285	122290	122065	122090	42970	168471	5
2024.06.03	13:15:00	122090	122135	122085	122110	17977	65311	5
2024.06.03	13:18:00	122110	122120	122035	122065	20954	84518	5
2024.06.03	13:21:00	122065	122095	122025	122085	15832	57687	5
2024.06.03	13:24:00	122090	122125	122075	122100	15941	61020	5
2024.06.03	13:27:00	122100	122105	122055	122105	10655	39857	5
2024.06.03	13:30:00	122100	122110	122040	122075	13693	51009	5
2024.06.03	13:33:00	122075	122090	121985	121985	19312	73960	5
2024.06.03	13:36:00	121985	122095	121960	122050	29744	115666	5
2024.06.03	13:39:00	122050	122085	122025	122060	12356	46387	5
2024.06.03	13:42:00	122060	122100	122040	122050	11634	42425	5
2024.06.03	13:45:00	122045	122120	122035	122120	12491	47114	5
2024.06.03	13:48:00	122120	122135	122050	122050	17018	64046	5
2024.06.03	13:51:00	122055	122095	122000	122050	17714	65137	5
2024.06.03	13:54:00	122050	122085	122040	122065	10877	37411	5
2024.06.03	13:57:00	122070	122100	122055	122075	10361	38495	5
2024.06.03	14:00:00	122075	122090	122010	122035	18407	72776	5
2024.06.03	14:03:00	122035	122110	122005	122105	16974	60446	5
2024.06.03	14:06:00	122105	122175	122080	122115	32401	128846	5
2024.06.03	14:09:00	122115	122120	122040	122070	16778	62946	5
2024.06.03	14:12:00	122065	122190	122055	122175	23215	91876	5
2024.06.03	14:15:00	122180	122275	122155	122275	26134	104442	5
2024.06.03	14:18:00	122270	122345	122265	122300	25210	107449	5
2024.06.03	14:21:00	122300	122385	122285	122375	23763	95498	5
2024.06.03	14:24:00	122380	122430	122340	122425	20358	75893	5
2024.06.03	14:27:00	122425	122550	122405	122540	29892	116265	5
2024.06.03	14:30:00	122540	122700	122515	122665	38518	166545	5
2024.06.03	14:33:00	122665	122675	122600	122615	22605	90000	5
2024.06.03	14:36:00	122615	122695	122540	122545	29863	117416	5
2024.06.03	14:39:00	122550	122610	122510	122525	24821	99333	5
2024.06.03	14:42:00	122530	122570	122520	122550	11259	41390	5
2024.06.03	14:45:00	122545	122555	122505	122520	11089	40139	5
2024.06.03	14:48:00	122520	122535	122415	122430	23282	88159	5
2024.06.03	14:51:00	122430	122450	122370	122425	23466	97763	5
2024.06.03	14:54:00	122425	122430	122365	122375	13859	55095	5
2024.06.03	14:57:00	122380	122435	122370	122425	12794	47366	5
2024.06.03	15:00:00	122425	122510	122395	122430	27329	106463	5
2024.06.03	15:03:00	122430	122485	122410	122430	13719	53054	5
2024.06.03	15:06:00	122435	122525	122425	122500	15149	59082	5
2024.06.03	15:09:00	122495	122525	122440	122455	13773	51371	5
2024.06.03	15:12:00	122450	122455	122395	122415	16804	68131	5
2024.06.03	15:15:00	122410	122490	122405	122470	13458	50572	5
2024.06.03	15:18:00	122470	122590	122465	122585	22002	86283	5
2024.06.03	15:21:00	122580	122640	122560	122575	23873	90554	5
2024.06.03	15:24:00	122570	122610	122515	122600	21996	87663	5
2024.06.03	15:27:00	122600	122610	122555	122580	11415	46382	5
2024.06.03	15:30:00	122580	122625	122555	122615	14862	59050	5
2024.06.03	15:33:00	122615	122695	122610	122670	27900	111400	5
