<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.09.20	12:42:00	132545	132625	132540	132590	17735	59780	5
2024.09.20	12:45:00	132595	132640	132555	132615	14861	49960	5
2024.09.20	12:48:00	132620	132645	132555	132565	13916	53081	5
2024.09.20	12:51:00	132565	132635	132535	132625	15159	56140	5
2024.09.20	12:54:00	132625	132670	132605	132635	14050	51956	5
2024.09.20	12:57:00	132635	132640	132495	132510	19399	75497	5
2024.09.20	13:00:00	132515	132515	132445	132490	18644	71188	5
2024.09.20	13:03:00	132495	132555	132435	132445	20558	78932	5
2024.09.20	13:06:00	132440	132465	132415	132440	13877	52690	5
2024.09.20	13:09:00	132440	132475	132335	132335	24888	92990	5
2024.09.20	13:12:00	132335	132410	132335	132405	15115	59623	5
2024.09.20	13:15:00	132400	132405	132280	132310	19225	74385	5
2024.09.20	13:18:00	132305	132360	132285	132360	14706	55667	5
2024.09.20	13:21:00	132360	132435	132350	132415	16989	63280	5
2024.09.20	13:24:00	132420	132425	132305	132350	17237	65267	5
2024.09.20	13:27:00	132345	132395	132330	132375	8431	29522	5
2024.09.20	13:30:00	132370	132385	132315	132340	11215	41518	5
2024.09.20	13:33:00	132345	132435	132325	132420	15208	59436	5
2024.09.20	13:36:00	132420	132490	132400	132410	18576	65550	5
2024.09.20	13:39:00	132410	132420	132360	132410	12641	51646	5
2024.09.20	13:42:00	132415	132485	132370	132475	15170	62040	5
2024.09.20	13:45:00	132475	132485	132375	132405	11212	42851	5
2024.09.20	13:48:00	132405	132430	132325	132345	15058	60019	5
2024.09.20	13:51:00	132350	132380	132160	132185	35814	139789	5
2024.09.20	13:54:00	132185	132240	132155	132220	19932	80249	5
2024.09.20	13:57:00	132225	132240	132105	132135	20144	78707	5
2024.09.20	14:00:00	132140	132195	132115	132175	15556	60126	5
2024.09.20	14:03:00	132175	132235	132155	132155	15574	57081	5
2024.09.20	14:06:00	132155	132170	132075	132100	19434	80135	5
2024.09.20	14:09:00	132100	132165	132050	132135	21357	87509	5
2024.09.20	14:12:00	132135	132230	132125	132205	14805	57141	5
2024.09.20	14:15:00	132200	132210	132150	132180	9386	37890	5
2024.09.20	14:18:00	132175	132190	132060	132085	14456	55863	5
2024.09.20	14:21:00	132090	132125	132035	132060	14640	54616	5
2024.09.20	14:24:00	132060	132105	132045	132090	10799	43088	5
2024.09.20	14:27:00	132090	132095	132035	132075	10517	44151	5
2024.09.20	14:30:00	132075	132080	131980	132055	23447	100493	5
2024.09.20	14:33:00	132055	132065	132005	132065	9981	37932	5
2024.09.20	14:36:00	132065	132075	131985	131995	11563	49773	5
2024.09.20	14:39:00	131995	132005	131880	131925	27605	114820	5
2024.09.20	14:42:00	131920	131995	131915	131970	16604	63557	5
2024.09.20	14:45:00	131970	132040	131950	132000	15638	59957	5
2024.09.20	14:48:00	132000	132010	131895	131910	17582	69533	5
2024.09.20	14:51:00	131915	131920	131855	131870	17302	71122	5
2024.09.20	14:54:00	131870	131915	131810	131900	22854	93412	5
2024.09.20	14:57:00	131900	131915	131870	131885	8552	35181	5
2024.09.20	15:00:00	131880	131945	131860	131925	12461	49278	5
2024.09.20	15:03:00	131925	131930	131805	131850	19526	80993	5
2024.09.20	15:06:00	131845	131895	131820	131860	14196	57013	5
2024.09.20	15:09:00	131860	131870	131765	131800	17422	76254	5
2024.09.20	15:12:00	131800	131880	131790	131870	12403	53081	5
2024.09.20	15:15:00	131870	131885	131855	131865	7088	27156	5
2024.09.20	15:18:00	131860	131950	131835	131930	17358	68137	5
2024.09.20	15:21:00	131930	132000	131915	131925	19282	80231	5
2024.09.20	15:24:00	131925	131940	131835	131845	17532	75745	5
2024.09.20	15:27:00	131845	131865	131725	131735	21441	85605	5
2024.09.20	15:30:00	131740	131830	131735	131805	18471	78506	5
2024.09.20	15:33:00	131805	131840	131710	131755	17728	76851	5
2024.09.20	15:36:00	131755	131805	131740	131790	11728	49918	5
2024.09.20	15:39:00	131790	131820	131760	131790	10011	37542	5
2024.09.20	15:42:00	131790	131840	131780	131820	9645	38113	5
2024.09.20	15:45:00	131815	131860	131805	131820	9801	35151	5
2024.09.20	15:48:00	131820	131870	131795	131845	9973	36618	5
2024.09.20	15:51:00	131845	131850	131785	131835	11419	44486	5
2024.09.20	15:54:00	131830	131905	131820	131895	12767	48600	5
2024.09.20	15:57:00	131895	131915	131870	131890	8770	37174	5
2024.09.20	16:00:00	131890	131925	131820	131865	17154	68805	5
2024.09.20	16:03:00	131865	131935	131830	131860	17745	70055	5
2024.09.20	16:06:00	131860	131885	131835	131850	7546	29216	5
2024.09.20	16:09:00	131850	131940	131850	131910	11277	41400	5
2024.09.20	16:12:00	131905	131910	131795	131880	17828	70096	5
2024.09.20	16:15:00	131880	131940	131875	131890	15138	62105	5
2024.09.20	16:18:00	131895	131920	131840	131890	11869	49556	5
2024.09.20	16:21:00	131890	131955	131880	131935	14145	51893	5
2024.09.20	16:24:00	131935	132030	131930	131990	22036	83470	5
2024.09.20	16:27:00	131985	132040	131945	131980	16358	69600	5
2024.09.20	16:30:00	131975	131995	131925	131980	11946	51791	5
2024.09.20	16:33:00	131985	131995	131920	131975	12512	51515	5
2024.09.20	16:36:00	131975	132015	131935	132000	13408	57748	5
2024.09.20	16:39:00	132005	132080	131985	132070	16694	68289	5
2024.09.20	16:42:00	132070	132095	132045	132065	11193	45707	5
2024.09.20	16:45:00	132065	132065	132005	132020	11375	46907	5
2024.09.20	16:48:00	132020	132040	131855	131865	26851	112860	5
2024.09.20	16:51:00	131860	131895	131820	131840	16314	68367	5
2024.09.20	16:54:00	131840	131870	131755	131780	17712	77046	5
2024.09.20	16:57:00	131780	131855	131760	131820	13643	51524	5
2024.09.20	17:00:00	131825	131870	131750	131760	15704	63377	5
2024.09.20	17:03:00	131760	131860	131725	131840	18401	75072	5
2024.09.20	17:06:00	131835	131910	131805	131815	18182	68089	5
2024.09.20	17:09:00	131815	131855	131765	131790	14922	64750	5
2024.09.20	17:12:00	131790	131865	131790	131845	9864	36184	5
2024.09.20	17:15:00	131845	131970	131840	131930	13906	48471	5
2024.09.20	17:18:00	131925	132030	131915	131985	14944	54289	5
2024.09.20	17:21:00	131985	132015	131920	131970	10721	39240	5
2024.09.20	17:24:00	131970	131995	131935	131935	6018	21132	5
2024.09.20	17:27:00	131935	131955	131835	131865	11869	45849	5
2024.09.20	17:30:00	131860	131875	131755	131795	12668	50815	5
2024.09.20	17:33:00	131795	131850	131775	131835	7101	26063	5
2024.09.20	17:36:00	131830	131845	131805	131840	4451	15476	5
2024.09.20	17:39:00	131840	131865	131815	131830	4739	15569	5
2024.09.20	17:42:00	131825	131845	131790	131840	4831	16751	5
2024.09.20	17:45:00	131845	131875	131820	131855	5490	16990	5
2024.09.20	17:48:00	131850	131870	131805	131835	5878	18590	5
2024.09.20	17:51:00	131840	131845	131815	131835	2323	7809	5
2024.09.20	17:54:00	131840	131850	131820	131840	1855	7792	5
2024.09.20	17:57:00	131835	131870	131815	131845	3364	16887	5
2024.09.20	18:00:00	131850	131855	131810	131830	3221	11965	5
2024.09.20	18:03:00	131830	131845	131810	131830	2134	8844	5
2024.09.20	18:06:00	131830	131850	131770	131775	3888	15409	5
2024.09.20	18:09:00	131770	131800	131755	131775	3578	13144	5
2024.09.20	18:12:00	131780	131795	131765	131790	2535	10971	5
2024.09.20	18:15:00	131790	131795	131660	131690	7395	28212	5
2024.09.20	18:18:00	131700	131750	131680	131705	3800	13924	5
2024.09.20	18:21:00	131705	131750	131680	131695	1901	6538	5
2024.09.20	18:24:00	131685	131710	131610	131610	1390	14247	5
2024.09.23	09:00:00	131400	131505	130985	131055	96326	274723	5
2024.09.23	09:03:00	131055	131225	130885	130905	88034	247595	5
2024.09.23	09:06:00	130905	131155	130895	131070	59228	178474	5
2024.09.23	09:09:00	131065	131310	131045	131285	48030	148651	5
2024.09.23	09:12:00	131280	131410	131245	131375	45143	160297	5
2024.09.23	09:15:00	131380	131400	131230	131250	37895	123579	5
2024.09.23	09:18:00	131250	131345	131225	131330	25776	78084	5
2024.09.23	09:21:00	131330	131440	131305	131405	27797	82834	5
2024.09.23	09:24:00	131400	131445	131330	131390	31018	95804	5
2024.09.23	09:27:00	131390	131415	131305	131335	22645	69136	5
2024.09.23	09:30:00	131340	131420	131265	131315	36506	112002	5
2024.09.23	09:33:00	131320	131365	131270	131305	21658	71270	5
2024.09.23	09:36:00	131305	131410	131170	131370	61710	196515	5
2024.09.23	09:39:00	131370	131390	131225	131240	33103	108237	5
2024.09.23	09:42:00	131240	131440	131205	131390	42682	145058	5
2024.09.23	09:45:00	131385	131540	131360	131455	40695	126606	5
2024.09.23	09:48:00	131450	131495	131445	131475	17734	57286	5
2024.09.23	09:51:00	131480	131530	131470	131480	18674	63199	5
2024.09.23	09:54:00	131480	131530	131295	131315	40856	133803	5
2024.09.23	09:57:00	131310	131460	131305	131380	34929	118438	5
2024.09.23	10:00:00	131380	131475	131320	131370	39350	129511	5
2024.09.23	10:03:00	131365	131395	131235	131350	51829	171304	5
2024.09.23	10:06:00	131350	131445	131325	131380	36271	118132	5
2024.09.23	10:09:00	131375	131470	131340	131365	44436	151564	5
2024.09.23	10:12:00	131360	131405	131190	131295	57303	188990	5
2024.09.23	10:15:00	131295	131395	131245	131290	41226	138439	5
2024.09.23	10:18:00	131290	131525	131260	131490	49184	168961	5
2024.09.23	10:21:00	131490	131495	131245	131255	45272	150964	5
2024.09.23	10:24:00	131255	131370	131205	131360	43195	161646	5
2024.09.23	10:27:00	131360	131380	131215	131240	28458	99082	5
2024.09.23	10:30:00	131235	131450	131115	131390	71390	248400	5
2024.09.23	10:33:00	131395	131750	131370	131680	77481	280564	5
2024.09.23	10:36:00	131675	131710	131455	131485	49113	173901	5
2024.09.23	10:39:00	131485	131555	131435	131470	34827	119935	5
2024.09.23	10:42:00	131470	131545	131380	131525	32051	107997	5
2024.09.23	10:45:00	131520	131585	131405	131565	34831	134039	5
2024.09.23	10:48:00	131565	131620	131390	131405	47867	164325	5
2024.09.23	10:51:00	131400	131420	131285	131315	46163	162754	5
2024.09.23	10:54:00	131315	131405	131210	131225	36935	127796	5
2024.09.23	10:57:00	131225	131235	131135	131210	34788	127727	5
2024.09.23	11:00:00	131210	131275	131190	131230	26370	95367	5
2024.09.23	11:03:00	131230	131260	131145	131185	25081	89606	5
2024.09.23	11:06:00	131185	131200	131090	131105	33722	119641	5
2024.09.23	11:09:00	131105	131220	131060	131125	46364	163088	5
2024.09.23	11:12:00	131120	131205	131090	131175	24701	88730	5
2024.09.23	11:15:00	131175	131255	131155	131185	24709	85709	5
2024.09.23	11:18:00	131185	131345	131175	131270	36990	125199	5
2024.09.23	11:21:00	131275	131305	131220	131270	19328	69137	5
2024.09.23	11:24:00	131270	131280	131135	131140	28456	95912	5
2024.09.23	11:27:00	131140	131160	131025	131075	31842	117283	5
2024.09.23	11:30:00	131075	131075	130900	130905	53484	215827	5
2024.09.23	11:33:00	130905	130980	130850	130960	38507	133683	5
2024.09.23	11:36:00	130955	131180	130950	131175	45820	166037	5
2024.09.23	11:39:00	131175	131215	131135	131185	26019	97208	5
2024.09.23	11:42:00	131180	131290	131170	131265	27062	97229	5
2024.09.23	11:45:00	131270	131285	131220	131270	14784	51382	5
2024.09.23	11:48:00	131270	131490	131260	131490	45383	167208	5
2024.09.23	11:51:00	131490	131500	131355	131415	31823	127074	5
2024.09.23	11:54:00	131415	131585	131405	131565	31504	119340	5
2024.09.23	11:57:00	131560	131575	131395	131430	32150	117236	5
2024.09.23	12:00:00	131435	131540	131390	131500	33955	117815	5
2024.09.23	12:03:00	131505	131565	131450	131540	17529	64497	5
2024.09.23	12:06:00	131545	131560	131425	131475	20060	72113	5
2024.09.23	12:09:00	131475	131525	131430	131435	13733	48201	5
2024.09.23	12:12:00	131435	131445	131345	131345	24926	91628	5
2024.09.23	12:15:00	131350	131410	131340	131385	12468	45186	5
2024.09.23	12:18:00	131390	131500	131375	131480	20457	76140	5
2024.09.23	12:21:00	131485	131540	131450	131480	19911	71342	5
2024.09.23	12:24:00	131480	131510	131370	131445	22220	81746	5
2024.09.23	12:27:00	131445	131460	131370	131400	11291	42743	5
2024.09.23	12:30:00	131400	131460	131350	131460	15187	52517	5
2024.09.23	12:33:00	131460	131525	131405	131505	15286	56074	5
2024.09.23	12:36:00	131510	131555	131450	131540	14087	53158	5
2024.09.23	12:39:00	131545	131550	131470	131520	15223	57768	5
2024.09.23	12:42:00	131520	131640	131510	131625	22948	82861	5
2024.09.23	12:45:00	131625	131630	131550	131570	14498	53022	5
2024.09.23	12:48:00	131570	131590	131505	131535	13974	51531	5
2024.09.23	12:51:00	131530	131625	131525	131570	13852	51382	5
2024.09.23	12:54:00	131570	131610	131550	131570	9428	35392	5
2024.09.23	12:57:00	131570	131595	131505	131510	12996	49890	5
2024.09.23	13:00:00	131515	131515	131430	131445	20626	76989	5
2024.09.23	13:03:00	131445	131465	131405	131435	14466	59945	5
2024.09.23	13:06:00	131435	131445	131375	131390	11888	45981	5
2024.09.23	13:09:00	131395	131410	131355	131390	15077	56086	5
2024.09.23	13:12:00	131385	131405	131300	131380	25415	93612	5
2024.09.23	13:15:00	131385	131430	131340	131415	14639	52119	5
2024.09.23	13:18:00	131415	131445	131345	131365	16250	58188	5
2024.09.23	13:21:00	131365	131410	131360	131410	9509	33481	5
2024.09.23	13:24:00	131405	131435	131380	131380	9583	36128	5
2024.09.23	13:27:00	131380	131395	131335	131340	10795	39996	5
2024.09.23	13:30:00	131340	131355	131230	131260	29077	108178	5
2024.09.23	13:33:00	131265	131380	131255	131365	20567	80756	5
2024.09.23	13:36:00	131360	131395	131330	131360	12664	46088	5
2024.09.23	13:39:00	131360	131425	131340	131360	15818	57903	5
2024.09.23	13:42:00	131360	131390	131280	131300	16464	66365	5
2024.09.23	13:45:00	131295	131330	131260	131300	12926	50248	5
2024.09.23	13:48:00	131295	131380	131295	131370	15166	55619	5
2024.09.23	13:51:00	131365	131495	131365	131470	32840	124806	5
2024.09.23	13:54:00	131465	131495	131425	131440	11218	45114	5
2024.09.23	13:57:00	131435	131440	131365	131370	13327	46699	5
2024.09.23	14:00:00	131375	131415	131300	131330	22307	83492	5
2024.09.23	14:03:00	131325	131375	131250	131295	18587	66738	5
2024.09.23	14:06:00	131295	131360	131250	131345	14176	50835	5
2024.09.23	14:09:00	131345	131390	131330	131365	12163	42033	5
2024.09.23	14:12:00	131365	131405	131330	131340	13117	49051	5
2024.09.23	14:15:00	131345	131360	131305	131305	8910	30787	5
2024.09.23	14:18:00	131310	131315	131260	131300	11527	44889	5
2024.09.23	14:21:00	131305	131340	131230	131325	16283	57004	5
2024.09.23	14:24:00	131330	131375	131320	131325	13035	45403	5
2024.09.23	14:27:00	131330	131380	131315	131365	8525	30763	5
2024.09.23	14:30:00	131370	131410	131350	131370	13411	47999	5
2024.09.23	14:33:00	131370	131530	131360	131515	24794	88905	5
2024.09.23	14:36:00	131515	131515	131425	131435	15865	64248	5
2024.09.23	14:39:00	131430	131485	131420	131475	7682	29096	5
2024.09.23	14:42:00	131475	131490	131455	131485	6548	24403	5
2024.09.23	14:45:00	131485	131565	131455	131525	20334	71625	5
2024.09.23	14:48:00	131525	131525	131455	131500	12530	45479	5
2024.09.23	14:51:00	131500	131530	131410	131435	15588	54959	5
2024.09.23	14:54:00	131435	131485	131420	131455	9086	35401	5
2024.09.23	14:57:00	131460	131510	131440	131440	9734	35610	5
2024.09.23	15:00:00	131445	131480	131410	131455	10820	38830	5
2024.09.23	15:03:00	131455	131465	131420	131450	5990	21181	5
2024.09.23	15:06:00	131450	131475	131415	131455	7425	27824	5
2024.09.23	15:09:00	131455	131485	131375	131400	14682	52946	5
2024.09.23	15:12:00	131395	131420	131360	131400	17188	58896	5
2024.09.23	15:15:00	131405	131430	131385	131410	7466	26430	5
2024.09.23	15:18:00	131410	131420	131340	131350	13493	50350	5
2024.09.23	15:21:00	131350	131375	131300	131325	13098	47050	5
2024.09.23	15:24:00	131320	131395	131320	131385	12833	46699	5
2024.09.23	15:27:00	131380	131410	131355	131385	7508	25161	5
2024.09.23	15:30:00	131385	131405	131355	131375	5705	20853	5
2024.09.23	15:33:00	131375	131420	131360	131420	7909	28106	5
2024.09.23	15:36:00	131420	131450	131385	131420	11442	43261	5
2024.09.23	15:39:00	131425	131425	131345	131365	14748	55011	5
2024.09.23	15:42:00	131365	131370	131265	131275	20709	79105	5
2024.09.23	15:45:00	131270	131305	131210	131230	24181	92848	5
2024.09.23	15:48:00	131235	131275	131175	131225	23528	92126	5
2024.09.23	15:51:00	131230	131245	131185	131210	11467	43888	5
2024.09.23	15:54:00	131210	131240	131180	131200	12115	47443	5
2024.09.23	15:57:00	131205	131215	131125	131180	18404	74458	5
2024.09.23	16:00:00	131185	131265	131180	131220	16069	57650	5
2024.09.23	16:03:00	131220	131235	131170	131185	11303	41463	5
2024.09.23	16:06:00	131180	131235	131175	131220	8516	33065	5
2024.09.23	16:09:00	131215	131255	131160	131245	14354	55955	5
2024.09.23	16:12:00	131245	131310	131235	131280	17549	67656	5
2024.09.23	16:15:00	131280	131330	131250	131310	13114	51269	5
2024.09.23	16:18:00	131305	131310	131240	131290	11209	44817	5
2024.09.23	16:21:00	131295	131315	131270	131295	5760	20885	5
2024.09.23	16:24:00	131300	131385	131295	131360	16534	61782	5
2024.09.23	16:27:00	131365	131370	131315	131345	9374	34829	5
2024.09.23	16:30:00	131345	131430	131335	131425	16571	61822	5
2024.09.23	16:33:00	131430	131440	131380	131420	12234	45666	5
2024.09.23	16:36:00	131415	131420	131355	131365	12348	47811	5
2024.09.23	16:39:00	131360	131410	131340	131345	12708	49727	5
2024.09.23	16:42:00	131345	131370	131325	131345	9553	34680	5
2024.09.23	16:45:00	131345	131475	131345	131470	17020	69350	5
2024.09.23	16:48:00	131470	131480	131415	131440	12677	51360	5
2024.09.23	16:51:00	131435	131445	131390	131405	8989	36871	5
2024.09.23	16:54:00	131405	131475	131400	131445	11293	47395	5
2024.09.23	16:57:00	131445	131450	131360	131380	12973	46894	5
2024.09.23	17:00:00	131380	131380	131255	131320	27211	103278	5
2024.09.23	17:03:00	131325	131365	131300	131360	8071	27448	5
2024.09.23	17:06:00	131360	131435	131325	131375	16165	60573	5
2024.09.23	17:09:00	131375	131440	131325	131400	11963	42231	5
2024.09.23	17:12:00	131405	131430	131380	131425	6376	22274	5
2024.09.23	17:15:00	131430	131450	131400	131420	6435	22702	5
2024.09.23	17:18:00	131420	131425	131360	131365	8505	29827	5
2024.09.23	17:21:00	131360	131415	131340	131390	8605	31303	5
2024.09.23	17:24:00	131390	131395	131345	131370	4881	16413	5
2024.09.23	17:27:00	131370	131390	131325	131330	4984	18203	5
2024.09.23	17:30:00	131330	131335	131260	131270	11740	41605	5
2024.09.23	17:33:00	131265	131320	131215	131225	10334	39986	5
2024.09.23	17:36:00	131230	131240	131200	131240	6591	23865	5
2024.09.23	17:39:00	131240	131275	131230	131255	6038	20601	5
2024.09.23	17:42:00	131255	131270	131235	131265	3077	10134	5
2024.09.23	17:45:00	131270	131325	131235	131240	10340	37168	5
2024.09.23	17:48:00	131240	131275	131220	131260	5002	17075	5
2024.09.23	17:51:00	131255	131280	131230	131265	3281	11322	5
2024.09.23	17:54:00	131260	131300	131255	131265	2771	10390	5
2024.09.23	17:57:00	131260	131290	131260	131265	1736	6232	5
2024.09.23	18:00:00	131265	131335	131265	131305	4350	14513	5
2024.09.23	18:03:00	131300	131330	131280	131310	2211	8183	5
2024.09.23	18:06:00	131310	131325	131300	131310	1377	4879	5
2024.09.23	18:09:00	131315	131320	131290	131305	1705	6234	5
2024.09.23	18:12:00	131305	131320	131290	131300	2496	10647	5
2024.09.23	18:15:00	131310	131330	131265	131315	5146	17679	5
2024.09.23	18:18:00	131310	131350	131290	131345	3551	13398	5
2024.09.23	18:21:00	131350	131415	131315	131335	3149	12100	5
2024.09.23	18:24:00	131335	131365	131280	131360	1178	9642	5
2024.09.24	09:00:00	132590	133055	132500	132990	102719	312285	5
2024.09.24	09:03:00	132985	133000	132810	132860	61227	180789	5
2024.09.24	09:06:00	132860	132890	132730	132755	43096	136743	5
2024.09.24	09:09:00	132755	132760	132605	132610	39041	123908	5
2024.09.24	09:12:00	132610	132630	132540	132580	31568	100706	5
2024.09.24	09:15:00	132580	132640	132430	132615	54822	165143	5
2024.09.24	09:18:00	132610	132675	132580	132665	30422	101346	5
2024.09.24	09:21:00	132665	132750	132625	132715	28372	87733	5
2024.09.24	09:24:00	132715	132820	132630	132785	42224	142449	5
2024.09.24	09:27:00	132790	132900	132770	132900	34964	116018	5
2024.09.24	09:30:00	132900	132910	132750	132820	36318	116333	5
2024.09.24	09:33:00	132820	132960	132800	132925	35524	110612	5
2024.09.24	09:36:00	132930	132990	132910	132950	24037	75796	5
2024.09.24	09:39:00	132950	133025	132875	132960	40812	129740	5
2024.09.24	09:42:00	132960	132980	132930	132975	11924	36559	5
2024.09.24	09:45:00	132975	133110	132940	133080	46555	151142	5
2024.09.24	09:48:00	133075	133140	133030	133135	35022	116863	5
2024.09.24	09:51:00	133135	133230	133075	133185	43279	140508	5
2024.09.24	09:54:00	133185	133210	133115	133165	21366	64738	5
2024.09.24	09:57:00	133170	133195	133080	133095	19611	62424	5
2024.09.24	10:00:00	133095	133210	132985	133005	65086	218004	5
2024.09.24	10:03:00	133010	133180	132920	133140	77921	261066	5
2024.09.24	10:06:00	133145	133265	132990	133225	78393	255134	5
2024.09.24	10:09:00	133225	133230	133040	133045	45347	143480	5
2024.09.24	10:12:00	133050	133175	133005	133010	50482	163896	5
2024.09.24	10:15:00	133005	133020	132805	132910	78653	240730	5
2024.09.24	10:18:00	132910	133045	132905	132950	58512	191958	5
2024.09.24	10:21:00	132950	133120	132905	132970	61035	199669	5
2024.09.24	10:24:00	132970	133210	132950	133175	48056	160672	5
2024.09.24	10:27:00	133175	133230	133115	133160	35508	118620	5
2024.09.24	10:30:00	133165	133320	133040	133285	96858	340718	5
2024.09.24	10:33:00	133285	133445	133265	133425	59428	207178	5
2024.09.24	10:36:00	133425	133705	133400	133585	75709	279045	5
2024.09.24	10:39:00	133585	133780	133515	133760	55965	193754	5
2024.09.24	10:42:00	133765	133865	133680	133760	54952	191125	5
2024.09.24	10:45:00	133760	133790	133685	133730	38888	143176	5
2024.09.24	10:48:00	133730	133755	133610	133650	49272	181813	5
2024.09.24	10:51:00	133650	133745	133575	133635	40291	135972	5
2024.09.24	10:54:00	133635	133665	133485	133550	39688	135996	5
2024.09.24	10:57:00	133555	133565	133465	133485	16964	61740	5
2024.09.24	11:00:00	133485	133520	133350	133490	57052	224698	5
2024.09.24	11:03:00	133495	133495	133325	133340	40133	142463	5
2024.09.24	11:06:00	133335	133460	133285	133435	33220	115820	5
2024.09.24	11:09:00	133430	133515	133415	133430	31009	106558	5
2024.09.24	11:12:00	133430	133495	133415	133425	15449	51681	5
2024.09.24	11:15:00	133425	133465	133330	133355	25627	104835	5
2024.09.24	11:18:00	133355	133395	133240	133300	36478	126014	5
2024.09.24	11:21:00	133295	133315	133155	133155	34275	120291	5
2024.09.24	11:24:00	133160	133200	133100	133130	30806	115369	5
2024.09.24	11:27:00	133135	133155	132925	132975	46928	180091	5
2024.09.24	11:30:00	132975	133000	132760	132785	51939	212078	5
2024.09.24	11:33:00	132785	132885	132700	132720	50931	211055	5
2024.09.24	11:36:00	132720	132780	132675	132680	26104	96526	5
2024.09.24	11:39:00	132685	132765	132680	132735	23234	86294	5
2024.09.24	11:42:00	132735	132825	132710	132785	28654	98915	5
2024.09.24	11:45:00	132785	132850	132735	132750	28583	110001	5
2024.09.24	11:48:00	132750	132790	132650	132680	31423	113027	5
2024.09.24	11:51:00	132685	132745	132655	132680	20750	79631	5
2024.09.24	11:54:00	132675	132720	132610	132685	28448	113726	5
2024.09.24	11:57:00	132680	132710	132620	132630	13627	47357	5
2024.09.24	12:00:00	132630	132735	132555	132600	42323	164709	5
2024.09.24	12:03:00	132605	132625	132550	132605	18270	76220	5
2024.09.24	12:06:00	132605	132630	132530	132575	18009	69044	5
2024.09.24	12:09:00	132580	132610	132450	132480	28811	115233	5
2024.09.24	12:12:00	132485	132550	132430	132540	21746	84311	5
2024.09.24	12:15:00	132540	132545	132440	132480	17014	65820	5
2024.09.24	12:18:00	132480	132585	132455	132460	24286	93970	5
2024.09.24	12:21:00	132465	132480	132335	132380	30925	117028	5
2024.09.24	12:24:00	132380	132435	132335	132425	18292	69924	5
2024.09.24	12:27:00	132425	132615	132425	132595	31532	123531	5
2024.09.24	12:30:00	132600	132650	132565	132585	24194	87478	5
2024.09.24	12:33:00	132585	132680	132565	132570	23247	88355	5
2024.09.24	12:36:00	132570	132655	132555	132645	15528	60601	5
2024.09.24	12:39:00	132640	132680	132615	132660	14212	55193	5
2024.09.24	12:42:00	132660	132750	132630	132725	20266	75195	5
2024.09.24	12:45:00	132725	132790	132670	132790	19957	75727	5
2024.09.24	12:48:00	132790	132830	132765	132825	20543	82211	5
2024.09.24	12:51:00	132820	132880	132785	132880	14964	53596	5
2024.09.24	12:54:00	132875	132895	132815	132850	14617	57377	5
2024.09.24	12:57:00	132855	132865	132800	132820	10573	38185	5
2024.09.24	13:00:00	132825	132855	132780	132820	10371	39567	5
2024.09.24	13:03:00	132815	132920	132810	132895	15942	57215	5
2024.09.24	13:06:00	132895	132960	132875	132910	18082	70515	5
2024.09.24	13:09:00	132905	132925	132875	132910	8887	35306	5
2024.09.24	13:12:00	132910	132940	132895	132935	7176	24981	5
2024.09.24	13:15:00	132940	132960	132910	132955	8532	31502	5
2024.09.24	13:18:00	132955	132990	132950	132965	11585	44547	5
2024.09.24	13:21:00	132965	133000	132930	132975	8796	36404	5
2024.09.24	13:24:00	132980	132980	132875	132890	15831	56835	5
2024.09.24	13:27:00	132890	132900	132830	132870	16791	64220	5
2024.09.24	13:30:00	132865	132895	132785	132825	21341	80403	5
2024.09.24	13:33:00	132825	132840	132780	132815	11971	51308	5
2024.09.24	13:36:00	132820	132870	132815	132850	10590	43905	5
2024.09.24	13:39:00	132850	132965	132815	132955	23737	97551	5
2024.09.24	13:42:00	132950	132980	132920	132970	9544	36642	5
2024.09.24	13:45:00	132975	133075	132960	133070	25406	95121	5
2024.09.24	13:48:00	133065	133115	133035	133065	18336	73130	5
2024.09.24	13:51:00	133070	133245	133040	133175	29643	118384	5
2024.09.24	13:54:00	133175	133185	133135	133155	14299	53890	5
2024.09.24	13:57:00	133150	133165	133105	133105	10752	41465	5
2024.09.24	14:00:00	133105	133110	133045	133075	15356	58219	5
2024.09.24	14:03:00	133080	133130	133040	133085	15444	58129	5
2024.09.24	14:06:00	133085	133115	133055	133070	8356	31544	5
2024.09.24	14:09:00	133065	133090	133005	133030	11170	39834	5
2024.09.24	14:12:00	133035	133130	133020	133125	16026	65805	5
2024.09.24	14:15:00	133120	133125	133010	133025	13759	51795	5
2024.09.24	14:18:00	133025	133080	132940	132965	22149	81807	5
2024.09.24	14:21:00	132965	132980	132915	132925	14834	56973	5
2024.09.24	14:24:00	132925	132990	132915	132975	10711	41249	5
2024.09.24	14:27:00	132975	132990	132900	132935	12133	44254	5
2024.09.24	14:30:00	132935	133000	132925	132990	10836	38279	5
2024.09.24	14:33:00	132990	133010	132965	132980	7644	28755	5
2024.09.24	14:36:00	132985	133055	132985	132990	15451	58440	5
2024.09.24	14:39:00	132990	132995	132870	132895	23678	90535	5
2024.09.24	14:42:00	132890	132960	132890	132890	13019	52463	5
2024.09.24	14:45:00	132895	132910	132830	132890	18276	73549	5
2024.09.24	14:48:00	132885	132920	132860	132905	7760	29905	5
2024.09.24	14:51:00	132905	132920	132855	132885	8582	34081	5
